search_point_url,href,name
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser/data=!4m5!3m4!1s0x94ce59cd17e23087:0x9e06a70d927f65fb!8m2!3d-23.5577888!4d-46.6589923?authuser=0&hl=en&rclk=1,Espaçolaser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Laser+Center/data=!4m5!3m4!1s0x94ce59c7d63a1be3:0x10007a5162f163fa!8m2!3d-23.5657144!4d-46.6521571?authuser=0&hl=en&rclk=1,Laser Center
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Vialaser+Depila%C3%A7%C3%A3o+a+Laser/data=!4m5!3m4!1s0x94ce593eb8bc31a9:0xb820fc92dd8f6e6c!8m2!3d-23.563522!4d-46.6526872?authuser=0&hl=en&rclk=1,Vialaser Depilação a Laser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Vialaser+Depila%C3%A7%C3%A3o+a+Laser/data=!4m5!3m4!1s0x94ce593fae355fc3:0x7ff1706d7c0a72b8!8m2!3d-23.5658059!4d-46.6508012?authuser=0&hl=en&rclk=1,Vialaser Depilação a Laser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Jardins/data=!4m5!3m4!1s0x94ce59d41766cc67:0xd197570759007a4f!8m2!3d-23.5634878!4d-46.6666992?authuser=0&hl=en&rclk=1,Espaçolaser Jardins
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Vialaser+Depila%C3%A7%C3%A3o+a+Laser/data=!4m5!3m4!1s0x94ce591569e830cb:0x395298893c9242a6!8m2!3d-23.554048!4d-46.6526753?authuser=0&hl=en&rclk=1,Vialaser Depilação a Laser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Galeria+Metropole+Republica/data=!4m5!3m4!1s0x94ce59db88398a99:0xcd8b8f8ea86b12d7!8m2!3d-23.546477!4d-46.6428031?authuser=0&hl=en&rclk=1,Espaçolaser Galeria Metropole Republica
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Higienopolis+Armando+Penteado/data=!4m5!3m4!1s0x94ce59a0d226dd19:0x7b8d330999f3681e!8m2!3d-23.544654!4d-46.6614?authuser=0&hl=en&rclk=1,Espaçolaser Higienopolis Armando Penteado
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Shopping+Top+Center/data=!4m5!3m4!1s0x94ce591b2dc07137:0x74ee32d5d29221f8!8m2!3d-23.5658059!4d-46.6508012?authuser=0&hl=en&rclk=1,Espaçolaser Shopping Top Center
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Shopping+Frei+Caneca/data=!4m5!3m4!1s0x94ce599ee2719295:0xf0c743637353564d!8m2!3d-23.5538107!4d-46.6528165?authuser=0&hl=en&rclk=1,Espaçolaser Shopping Frei Caneca
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Vialaser+Depila%C3%A7%C3%A3o+a+Laser/data=!4m5!3m4!1s0x94ce598dd555163d:0x2fbfddb262427420!8m2!3d-23.5465766!4d-46.6386315?authuser=0&hl=en&rclk=1,Vialaser Depilação a Laser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/DepiLaser/data=!4m5!3m4!1s0x94ce598df13fc0f3:0x74ef076b59171b71!8m2!3d-23.5648986!4d-46.6674421?authuser=0&hl=en&rclk=1,DepiLaser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser/data=!4m5!3m4!1s0x94ce597de28ea567:0x1bf3c7066bbda86d!8m2!3d-23.5425371!4d-46.658107?authuser=0&hl=en&rclk=1,Espaçolaser
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Laser+Dream/data=!4m5!3m4!1s0x94ce57f59b703b9d:0xe98b223300f5b855!8m2!3d-23.5424679!4d-46.6717223?authuser=0&hl=en&rclk=1,Laser Dream
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Dermo+Light+%7C+Equipamentos+de+Depila%C3%A7%C3%A3o+a+Laser+%7C+Laser+Crystal+3D+Body+Health/data=!4m5!3m4!1s0x94ce5929e3106b51:0x1b7fe504639285eb!8m2!3d-23.5642862!4d-46.654612?authuser=0&hl=en&rclk=1,Dermo Light | Equipamentos de Depilação a Laser | Laser Crystal 3D Body Health
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Giolaser+-+Giovanna+Antonelli+-+Sao+Paulo/data=!4m5!3m4!1s0x94ce59c7a43a47a9:0xdb0dc3b8031f490f!8m2!3d-23.5660737!4d-46.6527202?authuser=0&hl=en&rclk=1,Giolaser - Giovanna Antonelli - Sao Paulo
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Shopping+Light/data=!4m5!3m4!1s0x94ce59d46be6dc8d:0x6a61ccf8318e57c1!8m2!3d-23.5465766!4d-46.6386315?authuser=0&hl=en&rclk=1,Espaçolaser Shopping Light
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Maislaser+-+Jardins+SP/data=!4m5!3m4!1s0x94ce59c6022b5001:0x11c99b3ad09659e6!8m2!3d-23.565191!4d-46.6557591?authuser=0&hl=en&rclk=1,Maislaser - Jardins SP
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Laser+Vision+-+Cirurgia+de+Catarata/data=!4m5!3m4!1s0x94ce591129462ded:0xf3743874d818951b!8m2!3d-23.5623478!4d-46.6558703?authuser=0&hl=en&rclk=1,Laser Vision - Cirurgia de Catarata
"laser/@-23.551416,-46.6530728,15z",https://www.google.com/maps/place/Est%C3%BAdio+Laser/data=!4m5!3m4!1s0x94ce59b0c6eed405:0x519dd125a24465f2!8m2!3d-23.5515926!4d-46.6442313?authuser=0&hl=en&rclk=1,Estúdio Laser
"laser/@-23.558925,-46.6913064,15z",https://www.google.com/maps/place/Giolaser+Pinheiros+-+Depila%C3%A7%C3%A3o+a+Laser+e+Est%C3%A9tica/data=!4m5!3m4!1s0x94ce573119d32597:0xa9ff9038ecb07097!8m2!3d-23.5637615!4d-46.6859605?authuser=0&hl=en&rclk=1,Giolaser Pinheiros - Depilação a Laser e Estética
"laser/@-23.558925,-46.6913064,15z",https://www.google.com/maps/place/Espa%C3%A7olaser+Itau+Faria+Lima/data=!4m5!3m4!1s0x94ce57fb805d075d:0x8f6b8e39fa1e99ef!8m2!3d-23.5683624!4d-46.6928756?authuser=0&hl=en&rclk=1,Espaçolaser Itau Faria Lima
